expr,time,trial,mat_size,memory_used
ArmadilloBase,99441,173,1,78794976
Rbase,5357,173,1,78794976
ArmadilloIterator,83688,173,1,78794976
ArmadilloBase,123996,174,1,78795048
ArmadilloIterator,97035,174,1,78795048
Rbase,9859,174,1,78795048
ArmadilloBase,96683,175,1,78795160
ArmadilloIterator,80844,175,1,78795160
Rbase,5450,175,1,78795160
ArmadilloIterator,144245,176,1,78795256
ArmadilloBase,36890,176,1,78795256
Rbase,5210,176,1,78795256
ArmadilloIterator,335391,177,1,78795328
Rbase,23323,177,1,78795328
ArmadilloBase,55924,177,1,78795328
ArmadilloIterator,145594,178,1,78795424
Rbase,8248,178,1,78795424
ArmadilloBase,32639,178,1,78795424
Rbase,47080,179,1,78795496
ArmadilloBase,129397,179,1,78795496
ArmadilloIterator,88870,179,1,78795496
ArmadilloBase,145550,180,1,78795592
Rbase,5568,180,1,78795592
ArmadilloIterator,147347,180,1,78795592
ArmadilloIterator,335367,181,1,78795704
Rbase,14264,181,1,78795704
ArmadilloBase,55241,181,1,78795704
ArmadilloIterator,250900,182,1,78795776
ArmadilloBase,55895,182,1,78795776
Rbase,7550,182,1,78795776
ArmadilloBase,105386,183,1,78795872
Rbase,5510,183,1,78795872
ArmadilloIterator,85384,183,1,78795872
ArmadilloIterator,180162,184,1,78795944
ArmadilloBase,57411,184,1,78795944
Rbase,7273,184,1,78795944
Rbase,17558,185,1,78796040
ArmadilloIterator,135307,185,1,78796040
ArmadilloBase,28496,185,1,78796040
ArmadilloIterator,222283,186,1,78796112
ArmadilloBase,59812,186,1,78796112
Rbase,10096,186,1,78796112
ArmadilloIterator,262621,187,1,78796208
ArmadilloBase,50094,187,1,78796208
Rbase,6272,187,1,78796208
ArmadilloIterator,161019,188,1,78796320
ArmadilloBase,37962,188,1,78796320
Rbase,4806,188,1,78796320
ArmadilloBase,175620,189,1,78796392
ArmadilloIterator,112293,189,1,78796392
Rbase,6057,189,1,78796392
ArmadilloIterator,151671,190,1,78796488
Rbase,14682,190,1,78796488
ArmadilloBase,39583,190,1,78796488
Rbase,21414,191,1,78796560
ArmadilloBase,109015,191,1,78796560
ArmadilloIterator,88338,191,1,78796560
ArmadilloIterator,173414,192,1,78796656
ArmadilloBase,39500,192,1,78796656
Rbase,5309,192,1,78796656
ArmadilloBase,241088,193,1,78796728
Rbase,6808,193,1,78796728
ArmadilloIterator,150404,193,1,78796728
Rbase,59793,194,1,78796824
ArmadilloIterator,351910,194,1,78796824
ArmadilloBase,93663,194,1,78796824
ArmadilloIterator,178077,195,1,78796936
