expr,time,trial,mat_size,memory_used
RcppOpenMP,155630,152,1,51539512
RcppParallel,233825,153,1,51539624
RcppOpenMP,146285,153,1,51539624
RparallelColumn,44811818,153,1,51539624
RparallelRow,38932847,153,1,51539624
RcppParallel,221676,154,1,51539736
RparallelRow,36720401,154,1,51539736
RparallelColumn,49368373,154,1,51539736
RcppOpenMP,184054,154,1,51539736
RcppOpenMP,219309,155,1,51539848
RparallelColumn,45578969,155,1,51539848
RcppParallel,241737,155,1,51539848
RparallelRow,36207207,155,1,51539848
RparallelColumn,43553418,156,1,51540000
RcppOpenMP,217554,156,1,51540000
RcppParallel,219564,156,1,51540000
RparallelRow,42683074,156,1,51540000
RparallelRow,38368442,157,1,51540112
RparallelColumn,45875651,157,1,51540112
RcppParallel,191377,157,1,51540112
RcppOpenMP,174431,157,1,51540112
RcppOpenMP,190345,158,1,51540224
RparallelColumn,43593168,158,1,51540224
RparallelRow,37427314,158,1,51540224
RcppParallel,300837,158,1,51540224
RcppOpenMP,217005,159,1,51540336
RcppParallel,212640,159,1,51540336
RparallelColumn,44270629,159,1,51540336
RparallelRow,36787796,159,1,51540336
RparallelColumn,42776214,160,1,51540448
RcppOpenMP,188058,160,1,51540448
RparallelRow,42242411,160,1,51540448
RcppParallel,266407,160,1,51540448
RparallelRow,36581630,161,1,51540576
RparallelColumn,50869919,161,1,51540576
RcppParallel,187686,161,1,51540576
RcppOpenMP,171962,161,1,51540576
RparallelRow,35949267,162,1,51540688
RparallelColumn,49229847,162,1,51540688
RcppOpenMP,186909,162,1,51540688
RcppParallel,223905,162,1,51540688
RparallelColumn,42507765,163,1,51540800
RcppParallel,274407,163,1,51540800
RparallelRow,36882798,163,1,51540800
RcppOpenMP,230773,163,1,51540800
RparallelColumn,44062553,164,1,51540912
RparallelRow,36758100,164,1,51540912
RcppOpenMP,205074,164,1,51540912
RcppParallel,215778,164,1,51540912
RparallelColumn,42451345,165,1,51541024
RcppParallel,232197,165,1,51541024
RcppOpenMP,142761,165,1,51541024
RparallelRow,39233704,165,1,51541024
RparallelColumn,43289663,166,1,51541176
RcppParallel,206581,166,1,51541176
RparallelRow,34863404,166,1,51541176
RcppOpenMP,210622,166,1,51541176
RparallelColumn,44151805,167,1,51541288
RparallelRow,37342992,167,1,51541288
RcppParallel,239035,167,1,51541288
RcppOpenMP,2456411,167,1,51541288
RcppParallel,219880,168,1,51541400
RparallelRow,35176455,168,1,51541400
RparallelColumn,49601275,168,1,51541400
RcppOpenMP,187465,168,1,51541400
RcppParallel,222174,169,1,51541512
RcppOpenMP,167414,169,1,51541512
RparallelColumn,43958923,169,1,51541512
RparallelRow,38457939,169,1,51541512
RparallelRow,35161971,170,1,51541624
RparallelColumn,47540712,170,1,51541624
RcppOpenMP,195047,170,1,51541624
RcppParallel,222000,170,1,51541624
RcppParallel,216343,171,1,51541752
RparallelColumn,44672292,171,1,51541752
RparallelRow,37371679,171,1,51541752
RcppOpenMP,245682,171,1,51541752
RcppOpenMP,190937,172,1,51541864
RparallelRow,36658086,172,1,51541864
RcppParallel,227329,172,1,51541864
RparallelColumn,48985348,172,1,51541864
RparallelRow,35675912,173,1,51541976
