"expr","time","trial","mat_size","memory_used"
"ArmadilloBase",49626408,52,3,133408840
"ArmadilloIterator",139656,53,1,133408840
"ArmadilloBase",64652,53,1,133408840
"Rbase",5601,53,1,133408840
"ArmadilloBase",176199,53,2,133408840
"ArmadilloIterator",6741059,53,2,133408840
"Rbase",89583,53,2,133408840
"ArmadilloIterator",4162375700,53,3,133408840
"ArmadilloBase",48774609,53,3,133408840
"Rbase",46956895,53,3,133408840
"ArmadilloIterator",106238,54,1,133408840
"ArmadilloBase",35482,54,1,133408840
"Rbase",4028,54,1,133408840
"ArmadilloIterator",6785827,54,2,133408840
"ArmadilloBase",115855,54,2,133408840
"Rbase",75467,54,2,133408840
"ArmadilloIterator",4260500079,54,3,133408840
"Rbase",52118935,54,3,133408840
"ArmadilloBase",50341014,54,3,133408840
"ArmadilloBase",109367,55,1,133408840
"Rbase",8898,55,1,133408840
"ArmadilloIterator",84368,55,1,133408840
"ArmadilloIterator",6476311,55,2,133408840
"ArmadilloBase",141929,55,2,133408840
"Rbase",79575,55,2,133408840
"ArmadilloBase",46569778,55,3,133408840
"Rbase",44993276,55,3,133408840
"ArmadilloIterator",4303464848,55,3,133408840
"ArmadilloIterator",133615,56,1,133408840
"ArmadilloBase",47989,56,1,133408840
"Rbase",4965,56,1,133408840
"ArmadilloIterator",6552205,56,2,133408840
"ArmadilloBase",136529,56,2,133408840
"Rbase",75918,56,2,133408840
"Rbase",43634937,56,3,133408840
"ArmadilloIterator",4270122385,56,3,133408840
"ArmadilloBase",46713576,56,3,133408840
"Rbase",19244,57,1,133408840
"ArmadilloIterator",104333,57,1,133408840
"ArmadilloBase",23966,57,1,133408840
"ArmadilloIterator",6481849,57,2,133408840
"Rbase",89973,57,2,133408840
"ArmadilloBase",116892,57,2,133408840
"ArmadilloIterator",4217373826,57,3,133408840
"ArmadilloBase",50052652,57,3,133408840
"Rbase",47473052,57,3,133408840
"ArmadilloBase",100600,58,1,133408840
"ArmadilloIterator",64253,58,1,133408840
"Rbase",4924,58,1,133408840
"ArmadilloBase",183155,58,2,133408840
"Rbase",88001,58,2,133408840
"ArmadilloIterator",6537706,58,2,133408840
"Rbase",43485217,58,3,133408840
"ArmadilloBase",41331557,58,3,133408840
"ArmadilloIterator",4280382340,58,3,133408840
"ArmadilloIterator",135197,59,1,133408840
"Rbase",9452,59,1,133408840
"ArmadilloBase",36701,59,1,133408840
"ArmadilloBase",292457,59,2,133408840
"ArmadilloIterator",7205044,59,2,133408840
"Rbase",133269,59,2,133408840
"Rbase",46549828,59,3,133408840
"ArmadilloIterator",4291966889,59,3,133408840
"ArmadilloBase",46300645,59,3,133408840
"ArmadilloBase",136485,60,1,133408840
"ArmadilloIterator",87028,60,1,133408840
"Rbase",5557,60,1,133408840
"ArmadilloBase",171838,60,2,133408840
"ArmadilloIterator",8842310,60,2,133408840
"Rbase",126527,60,2,133408840
"Rbase",43611924,60,3,133408840
"ArmadilloBase",47255705,60,3,133408840
"ArmadilloIterator",4260683121,60,3,133408840
"ArmadilloBase",234616,61,1,133408840
"ArmadilloIterator",119219,61,1,133408840
"Rbase",7502,61,1,133408840
"ArmadilloIterator",6667399,61,2,133408840
"Rbase",87106,61,2,133408840
"ArmadilloBase",116272,61,2,133408840
"ArmadilloIterator",4227619278,61,3,133408840
"Rbase",51638115,61,3,133408840
"ArmadilloBase",48769726,61,3,133408840
"ArmadilloIterator",149589,62,1,133408840
"ArmadilloBase",33822,62,1,133408840
"Rbase",4970,62,1,133408840
"ArmadilloBase",175472,62,2,133408840
"ArmadilloIterator",6582334,62,2,133408840
"Rbase",80284,62,2,133408840
"ArmadilloBase",44247083,62,3,133408840
"ArmadilloIterator",4257642087,62,3,133408840
"Rbase",49206968,62,3,133408840
"ArmadilloIterator",119568,63,1,133408840
"ArmadilloBase",42016,63,1,133408840
"Rbase",4266,63,1,133408840
"ArmadilloBase",172435,63,2,133408840
"Rbase",87558,63,2,133408840
"ArmadilloIterator",6854269,63,2,133408840
"ArmadilloIterator",4245865780,63,3,133408840
"ArmadilloBase",49041888,63,3,133408840
"Rbase",48368345,63,3,133408840
"ArmadilloBase",104747,64,1,133408840
"Rbase",7724,64,1,133408840
"ArmadilloIterator",80621,64,1,133408840
"Rbase",109714,64,2,133408840
"ArmadilloBase",160799,64,2,133408840
"ArmadilloIterator",9153371,64,2,133408840
"Rbase",45485534,64,3,133408840
"ArmadilloIterator",4239403196,64,3,133408840
"ArmadilloBase",44912056,64,3,133408840
"ArmadilloIterator",172939,65,1,133408840
"Rbase",12129,65,1,133408840
"ArmadilloBase",34732,65,1,133408840
"ArmadilloIterator",6624483,65,2,133408840
"ArmadilloBase",117331,65,2,133408840
"Rbase",73647,65,2,133408840
"ArmadilloIterator",4222841331,65,3,133408840
"ArmadilloBase",53568466,65,3,133408840
"Rbase",49164854,65,3,133408840
"ArmadilloIterator",114523,66,1,133408840
"Rbase",8326,66,1,133408840
"ArmadilloBase",31650,66,1,133408840
"ArmadilloBase",181555,66,2,133408840
"ArmadilloIterator",6918642,66,2,133408840
"Rbase",93310,66,2,133408840
"Rbase",44415815,66,3,133408840
"ArmadilloIterator",4116799931,66,3,133408840
"ArmadilloBase",45939361,66,3,133408840
"ArmadilloIterator",109627,67,1,133408840
"Rbase",6981,67,1,133408840
"ArmadilloBase",24177,67,1,133408840
"ArmadilloBase",224482,67,2,133408840
"ArmadilloIterator",6690618,67,2,133408840
"Rbase",95517,67,2,133408840
"Rbase",45451428,67,3,133408840
"ArmadilloIterator",4232792358,67,3,133408840
"ArmadilloBase",51229121,67,3,133408840
"ArmadilloBase",66009,68,1,133408840
"Rbase",5656,68,1,133408840
"ArmadilloIterator",70703,68,1,133408840
"Rbase",108887,68,2,133408840
"ArmadilloIterator",6752941,68,2,133408840
"ArmadilloBase",147216,68,2,133408840
"Rbase",44444940,68,3,133408840
"ArmadilloBase",40697649,68,3,133408840
"ArmadilloIterator",4184676966,68,3,133408840
"Rbase",19444,69,1,133408840
"ArmadilloBase",68573,69,1,133408840
"ArmadilloIterator",61815,69,1,133408840
"ArmadilloBase",181950,69,2,133408840
"ArmadilloIterator",6913263,69,2,133408840
"Rbase",107526,69,2,133408840
"ArmadilloIterator",4206208861,69,3,133408840
"ArmadilloBase",51322645,69,3,133408840
"Rbase",49276722,69,3,133408840
"ArmadilloBase",88974,70,1,133408840
"ArmadilloIterator",68070,70,1,133408840
"Rbase",4634,70,1,133408840
"ArmadilloIterator",6694903,70,2,133408840
"Rbase",87872,70,2,133408840
"ArmadilloBase",122267,70,2,133408840
"Rbase",47049428,70,3,133408840
"ArmadilloIterator",4221164107,70,3,133408840
"ArmadilloBase",52045363,70,3,133408840
"Rbase",14906,71,1,133408840
"ArmadilloBase",61168,71,1,133408840
"ArmadilloIterator",65918,71,1,133408840
"ArmadilloIterator",7293693,71,2,133408840
"ArmadilloBase",180778,71,2,133408840
"Rbase",77568,71,2,133408840
"ArmadilloIterator",4237353399,71,3,133408840
"ArmadilloBase",45854633,71,3,133408840
"Rbase",46649082,71,3,133408840
"ArmadilloIterator",213587,72,1,133408840
"ArmadilloBase",32117,72,1,133408840
"Rbase",4190,72,1,133408840
"ArmadilloIterator",6700183,72,2,133408840
"ArmadilloBase",208779,72,2,133408840
"Rbase",80158,72,2,133408840
"Rbase",45008031,72,3,133408840
"ArmadilloIterator",4228562326,72,3,133408840
"ArmadilloBase",46644132,72,3,133408840
"Rbase",18093,73,1,133408840
"ArmadilloIterator",105314,73,1,133408840
"ArmadilloBase",24459,73,1,133408840
"Rbase",113499,73,2,133408840
"ArmadilloBase",153846,73,2,133408840
"ArmadilloIterator",6506377,73,2,133408840
"ArmadilloBase",46613982,73,3,133408840
"ArmadilloIterator",4217852662,73,3,133408840
"Rbase",44018180,73,3,133408840
"Rbase",16022,74,1,133408840
"ArmadilloBase",73668,74,1,133408840
"ArmadilloIterator",59616,74,1,133408840
"ArmadilloIterator",6688424,74,2,133408840
"Rbase",87768,74,2,133408840
"ArmadilloBase",122286,74,2,133408840
"ArmadilloBase",44567654,74,3,133408840
"Rbase",44934946,74,3,133408840
"ArmadilloIterator",4263110722,74,3,133408840
"ArmadilloBase",98422,75,1,133408840
"ArmadilloIterator",81343,75,1,133408840
"Rbase",5131,75,1,133408840
"ArmadilloIterator",6495345,75,2,133408840
"ArmadilloBase",123589,75,2,133408840
"Rbase",73152,75,2,133408840
"ArmadilloIterator",4228460842,75,3,133408840
"Rbase",46131026,75,3,133408840
"ArmadilloBase",46586382,75,3,133408840
"Rbase",19261,76,1,133408840
